title,price,href
Radeon r9 390 8g Powercolor,6 000,https://www.avito.ru//kazan/tovary_dlya_kompyutera/radeon_r9_390_8g_powercolor_1270044209
Видеокарта Geforce GTX 1050,7 000,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_geforce_gtx_1050_1136616905
AMD Radeon HD6770 1024MB gddr5,2 000,https://www.avito.ru//kazan/tovary_dlya_kompyutera/amd_radeon_hd6770_1024mb_gddr5_1623276584
Видеокарта Asus strix GTX 1050 2Gb Gaming,7 000,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_asus_strix_gtx_1050_2gb_gaming_1762739018
Palit GeForce GTX 750Ti stormx,3 000,https://www.avito.ru//kazan/tovary_dlya_kompyutera/palit_geforce_gtx_750ti_stormx_1774324025
Asus RX 570 strix Gaming OC 4GB,7 000,https://www.avito.ru//kazan/tovary_dlya_kompyutera/asus_rx_570_strix_gaming_oc_4gb_1769394267
Видеокарты Gigabyte GeForce GTX 1050 Ti,6 500,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarty_gigabyte_geforce_gtx_1050_ti_1785383772
Видеокарта Mining rx470-4g-led,7 000,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_mining_rx470-4g-led_1625399836
Видеокарта GV-RX550D5-2GD,5 000,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_gv-rx550d5-2gd_1047449160
Gigabyte GTX 650 1Gb,2 500,https://www.avito.ru//kazan/tovary_dlya_kompyutera/gigabyte_gtx_650_1gb_980966626
Видеокарта MSI RX560 4Gb,4 900,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_msi_rx560_4gb_1539593032
Видеокарта gtx660,2 900,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_gtx660_1788493473
Видеокарта GeForce gtx 560 ti 1gb,2 300,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_geforce_gtx_560_ti_1gb_1127120612
Видеокарта asus gym 750 ti 2 gb,3 000,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_asus_gym_750_ti_2_gb_1092226908
Видеокарта для игр Sapphire r7 260x,2 990,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_dlya_igr_sapphire_r7_260x_1454386133
Palit GTX 770,3 500,https://www.avito.ru//kazan/tovary_dlya_kompyutera/palit_gtx_770_1786965037
Видеокарта MSI GeForce GTX 950,5 000,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_msi_geforce_gtx_950_1780859997
Asus GTX1050 2 Gb 128 Bit,5 500,https://www.avito.ru//kazan/tovary_dlya_kompyutera/asus_gtx1050_2_gb_128_bit_1774682157
Видеокарта asus GeForce GTX 650 2048MB,3 100,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_asus_geforce_gtx_650_2048mb_1782927858
Водоблок ekwb для R9 Fury / R9 Fury X,2 000,https://www.avito.ru//kazan/tovary_dlya_kompyutera/vodoblok_ekwb_dlya_r9_fury_r9_fury_x_1509795871
Radeon rx 560 sapphire,5 999,https://www.avito.ru//kazan/tovary_dlya_kompyutera/radeon_rx_560_sapphire_1467807033
Видеокарта gigabyte GeForce GTX 650 2 гб,2 900,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_gigabyte_geforce_gtx_650_2_gb_1516044634
Asus prime Z270-A на сокете 1151 с чипсетом Z270,4 500,https://www.avito.ru//kazan/tovary_dlya_kompyutera/asus_prime_z270-a_na_sokete_1151_s_chipsetom_z270_1759793753
Игровая видео карта GTS 450,2 000,https://www.avito.ru//kazan/tovary_dlya_kompyutera/igrovaya_video_karta_gts_450_1761455979
Видеокарта asus GeForce GTX 950 strix 2 Гб gddr5,5 500,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_asus_geforce_gtx_950_strix_2_gb_gddr5_1388351212
Видеокарта GeForce GTX 550 Ti gddr5 192 bit 1гб,2 000,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_geforce_gtx_550_ti_gddr5_192_bit_1gb_1281637534
Видеокарта KalmX GeForce GTX 750 Ti,4 000,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_kalmx_geforce_gtx_750_ti_883857703
Sapphire nitro R9 380 4G,4 500,https://www.avito.ru//kazan/tovary_dlya_kompyutera/sapphire_nitro_r9_380_4g_1761956592
GTX 1050 2GB MSI AeroX Арт. 8542 1402Mhz gddr5,4 990,https://www.avito.ru//kazan/tovary_dlya_kompyutera/gtx_1050_2gb_msi_aerox_art._8542_1402mhz_gddr5_1759168066
GTX 650 1GB Gigabyte Арт. 6023 1110Mhz gddr5,2 800,https://www.avito.ru//kazan/tovary_dlya_kompyutera/gtx_650_1gb_gigabyte_art._6023_1110mhz_gddr5_1759239752
GTX 1050 2GB MSI Dual Арт. 3241 1405Mhz gddr5,4 990,https://www.avito.ru//kazan/tovary_dlya_kompyutera/gtx_1050_2gb_msi_dual_art._3241_1405mhz_gddr5_1759065730
GTX 1050 Ti 4GB MSI Арт. 1006 1291Mhz gddr5,6 500,https://www.avito.ru//kazan/tovary_dlya_kompyutera/gtx_1050_ti_4gb_msi_art._1006_1291mhz_gddr5_1759817615
GTX 1050 2GB MSI Арт. 5143 1403Mhz gddr5,4 990,https://www.avito.ru//kazan/tovary_dlya_kompyutera/gtx_1050_2gb_msi_art._5143_1403mhz_gddr5_1759226810
GTX 1050 2GB Gigfabyte Арт. 1063 1356Mhz gddr5,4 990,https://www.avito.ru//kazan/tovary_dlya_kompyutera/gtx_1050_2gb_gigfabyte_art._1063_1356mhz_gddr5_1759735922
Zotac GTX 670 AMP edition,3 200,https://www.avito.ru//kazan/tovary_dlya_kompyutera/zotac_gtx_670_amp_edition_1758779385
GTX 1050 2GB Inno3D Арт. 1002 1354Mhz gddr5,4 990,https://www.avito.ru//kazan/tovary_dlya_kompyutera/gtx_1050_2gb_inno3d_art._1002_1354mhz_gddr5_1758984003
GTX 750 Ti 2GB Gigabyte Арт. 3956 1163Mhz gddr5,3 500,https://www.avito.ru//kazan/tovary_dlya_kompyutera/gtx_750_ti_2gb_gigabyte_art._3956_1163mhz_gddr5_1759096882
Видеокарта GTX 1060 3gb.Новая,6 500,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_gtx_1060_3gb.novaya_1758013536
GTX 760 2GB MSI Арт. 5442 1085Mhz gddr5 PCI-E 3.0,4 500,https://www.avito.ru//kazan/tovary_dlya_kompyutera/gtx_760_2gb_msi_art._5442_1085mhz_gddr5_pci-e_3.0_1759240661
RX550 2GB MSI Арт. 7681 1203Mhz gddr5,4 500,https://www.avito.ru//kazan/tovary_dlya_kompyutera/rx550_2gb_msi_art._7681_1203mhz_gddr5_1759187614
GTX1050 2GB Asus RED Арт. 9571 1404Mhz gddr5,4 990,https://www.avito.ru//kazan/tovary_dlya_kompyutera/gtx1050_2gb_asus_red_art._9571_1404mhz_gddr5_1759738246
R9 390 8GB PowerColor Арт. 1002 1012Mhz gddr5,7 000,https://www.avito.ru//kazan/tovary_dlya_kompyutera/r9_390_8gb_powercolor_art._1002_1012mhz_gddr5_1759452872
Видеокарта r7 240-O4GD5L,2 500,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_r7_240-o4gd5l_1775852224
Видеокарта Nvidia Gigabyte GeForce GTX 950,4 500,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_nvidia_gigabyte_geforce_gtx_950_1779053044
Видеокарта ge force 750ti 1 gb,2 500,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_ge_force_750ti_1_gb_1104724337
Видеокарта+ оперативная память,2 000,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokarta_operativnaya_pamyat_1764237035
MSI GeForce GT 1030 aero ITX OC на 2 GB,4 200,https://www.avito.ru//kazan/tovary_dlya_kompyutera/msi_geforce_gt_1030_aero_itx_oc_na_2_gb_1774614939
Видеокартаmsi GF GTX1050 aero 2GB,6 000,https://www.avito.ru//kazan/tovary_dlya_kompyutera/videokartamsi_gf_gtx1050_aero_2gb_1063580486
